,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,93.182,41,44,8.644
1,1,88.636,39,44,8.033
2,2,72.727,32,44,9.751
3,3,77.273,34,44,9.883
4,4,88.636,39,44,9.347
5,5,81.818,36,44,7.494
6,6,68.182,30,44,9.784
7,7,61.364,27,44,7.917
8,8,79.545,35,44,10.352
9,9,80.0,36,45,7.094
