,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,88.636,39,44,23.713
1,1,95.455,42,44,22.681
2,2,65.909,29,44,27.312
3,3,79.545,35,44,25.849
4,4,79.545,35,44,24.225
5,5,79.545,35,44,20.123
6,6,95.455,42,44,31.843
7,7,63.636,28,44,27.048
8,8,79.545,35,44,36.198
9,9,80.0,36,45,23.179
