,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,72.727,32,44,4.429
1,1,84.091,37,44,5.428
2,2,65.909,29,44,5.744
3,3,77.273,34,44,5.771
4,4,84.091,37,44,5.602
5,5,68.182,30,44,5.715
6,6,72.727,32,44,8.26
7,7,34.091,15,44,6.808
8,8,86.364,38,44,7.165
9,9,62.222,28,45,5.051
