,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,68.182,30,44,6.506
1,1,86.364,38,44,6.625
2,2,61.364,27,44,8.744
3,3,56.818,25,44,8.354
4,4,77.273,34,44,7.911
5,5,68.182,30,44,6.395
6,6,90.909,40,44,8.563
7,7,59.091,26,44,7.228
8,8,72.727,32,44,9.868
9,9,80.0,36,45,6.933
