,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,86.364,38,44,19.317
1,1,88.636,39,44,17.528
2,2,56.818,25,44,20.755
3,3,70.455,31,44,21.119
4,4,84.091,37,44,19.026
5,5,81.818,36,44,14.237
6,6,95.455,42,44,18.237
7,7,70.455,31,44,15.317
8,8,72.727,32,44,21.346
9,9,82.222,37,45,16.13
