,0,1,2,3,4,5,6,7,8,9
0,31,0,0,2,1,4,4,1,0,1
1,1,34,2,4,0,2,0,1,0,0
2,0,1,32,5,0,3,2,1,0,0
3,0,0,6,30,0,0,0,7,1,0
4,0,1,0,1,33,1,0,8,0,0
5,3,0,0,0,2,28,2,2,0,7
6,0,0,0,0,0,1,43,0,0,0
7,1,0,0,1,13,2,1,26,0,0
8,0,0,7,6,0,0,0,1,30,0
9,3,0,1,4,0,2,2,0,1,32
