,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,86.364,38,44,28.324
1,1,95.455,42,44,20.646
2,2,63.636,28,44,26.676
3,3,75.0,33,44,24.739
4,4,77.273,34,44,21.39
5,5,79.545,35,44,16.359
6,6,97.727,43,44,21.486
7,7,61.364,27,44,18.417
8,8,79.545,35,44,26.656
9,9,71.111,32,45,21.088
