,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,27.273,12,44,5.507
1,1,22.727,10,44,5.475
2,2,36.364,16,44,6.6
3,3,34.091,15,44,6.914
4,4,38.636,17,44,6.545
5,5,45.455,20,44,5.25
6,6,38.636,17,44,6.902
7,7,29.545,13,44,5.835
8,8,45.455,20,44,8.127
9,9,13.333,6,45,5.717
