,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,43.182,19,44,6.226
1,1,45.455,20,44,5.96
2,2,43.182,19,44,7.243
3,3,27.273,12,44,7.532
4,4,6.818,3,44,7.931
5,5,45.455,20,44,7.081
6,6,75.0,33,44,8.998
7,7,50.0,22,44,10.681
8,8,45.455,20,44,9.258
9,9,48.889,22,45,5.804
