,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,84.091,37,44,7.656
1,1,90.909,40,44,7.403
2,2,61.364,27,44,8.986
3,3,59.091,26,44,8.946
4,4,79.545,35,44,8.466
5,5,81.818,36,44,7.449
6,6,93.182,41,44,9.301
7,7,50.0,22,44,8.674
8,8,72.727,32,44,9.853
9,9,77.778,35,45,6.834
