,0,1,2,3,4,5,6,7,8,9
0,208.50632911392407,216.81045751633985,214.34591194968556,217.0128205128205,219.73026315789474,206.29447852760734,218.29411764705884,224.20666666666668,204.62111801242236,208.62893081761004
1,295.8841463414634,297.22981366459624,300.9685534591195,279.81871345029236,309.73202614379085,293.5828220858896,276.40236686390534,308.73548387096776,293.11585365853654,293.5828220858896
2,443.82098765432096,418.01744186046517,450.7358490566038,427.80838323353294,418.8941176470588,442.2625,409.52571428571434,449.33750000000003,425.4378698224852,434.4638554216867
3,420.30674846625766,391.24719101123594,422.90123456790127,411.3433734939759,399.2865497076023,423.06748466257665,393.3872832369942,413.8363636363636,409.65882352941173,412.08284023668637
4,406.36516853932585,401.85,438.4819277108433,414.6342857142858,430.69822485207095,437.32142857142856,413.5681818181818,443.8292682926829,417.0172413793104,435.8562874251497
5,420.8372093023256,418.93220338983053,422.2543352601156,421.50282485875704,433.6315789473684,417.8595505617978,416.00000000000006,434.82142857142856,383.39690721649487,444.0179640718562
6,426.79545454545456,452.26900584795317,436.9378531073446,395.34736842105264,440.5235294117646,410.4021164021164,454.92941176470583,424.9340659340659,444.4712643678161,436.9378531073446
7,437.42307692307696,443.42134831460675,394.96938775510205,457.53448275862075,426.64324324324326,456.2102272727273,430.20108695652175,431.4347826086957,410.13989637305696,436.27868852459017
8,442.4673913043478,402.35858585858585,433.86740331491717,433.0531914893617,444.88524590163934,429.4255319148936,435.2307692307693,440.0666666666667,435.2307692307693,467.89655172413796
9,451.12365591397855,465.7861271676301,452.34408602150535,467.0404624277457,463.5027624309393,474.06214689265545,463.58563535911605,448.7112299465241,491.4739884393064,447.39037433155084
10,460.4261363636364,424.4270833333333,490.1618497109827,443.9100529100529,469.97765363128497,467.36666666666673,367.74347826086955,350.52500000000003,424.8787878787879,404.539603960396
11,440.35449735449737,405.732057416268,438.0368421052632,394.1926605504587,429.00515463917526,412.22660098522164,426.8051282051282,422.6363636363636,414.26732673267327,431.5989847715736
12,395.28504672897196,484.8505747126437,456.02162162162165,442.76190476190476,456.02162162162165,454.79347826086956,442.83516483516485,452.3670212765958,463.04519774011305,449.90322580645164
