,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,86.364,38,44,9.312
1,1,95.455,42,44,9.52
2,2,68.182,30,44,11.846
3,3,72.727,32,44,12.002
4,4,81.818,36,44,11.801
5,5,77.273,34,44,9.843
6,6,95.455,42,44,13.326
7,7,68.182,30,44,11.794
8,8,72.727,32,44,16.318
9,9,80.0,36,45,12.698
