,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,97.727,43,44,15.743
1,1,95.455,42,44,20.722
2,2,68.182,30,44,20.008
3,3,79.545,35,44,19.51
4,4,86.364,38,44,17.577
5,5,84.091,37,44,13.257
6,6,93.182,41,44,16.616
7,7,77.273,34,44,13.829
8,8,77.273,34,44,18.942
9,9,91.111,41,45,13.397
