,0,1,2,3,4,5,6,7,8,9
0,227.20529801324503,195.6878612716763,154.95852534562212,200.15476190476187,205.03658536585363,230.23333333333332,212.64102564102564,207.4472049689441,205.03658536585363,148.3963963963964
1,279.89385474860336,255.3157894736842,269.5,247.09499999999997,277.63483146067415,264.4731182795699,271.2950819672131,301.7914110429448,263.44864864864866,282.0348837209302
2,344.0243902439025,394.9325842696629,382.054347826087,352.625,368.9222797927461,367.31770833333337,384.14207650273227,363.7708333333333,316.66960352422905,368.19072164948454
3,379.9351351351351,378.7027027027027,368.7368421052632,386.54098360655735,309.89082969432314,395.23497267759564,363.9230769230769,388.66483516483515,379.91489361702133,378.7027027027027
4,395.3128205128205,393.8350515463917,406.66137566137564,396.1546391752577,413.22043010752685,387.8375634517766,406.66137566137564,382.02,399.1197916666667,400.5854922279793
5,272.8185053380783,273.63157894736844,273.9569892473118,273.79577464788736,278.3345195729537,280.5215827338129,252.50809061488675,276.5425531914894,273.79285714285714,268.9137931034483
6,260.64649681528664,244.35928143712573,255.759375,258.27848101265823,254.17080745341616,258.996835443038,248.37910447761192,240.7551622418879,242.65349544072947,216.515873015873
7,188.91533180778032,207.0074812967581,210.77638190954772,211.26767676767676,207.08415841584159,213.06030150753767,212.88040712468194,215.19338422391857,215.83037974683543,216.79381443298968
8,195.08695652173913,193.23863636363637,197.8027842227378,195.18264840182647,196.36258660508085,201.05092592592592,194.1981776765376,191.06741573033707,192.0337837837838,201.21361502347418
9,147.18305084745762,140.51456310679612,140.06129032258065,134.52464228934818,146.02980132450332,137.35930047694754,166.67562380038385,161.79588014981272,172.42315369261476,147.86317567567568
10,158.62659380692165,153.27640845070425,154.73157894736843,142.94489465153973,177.6153846153846,163.90366088631984,176.23684210526318,146.67736486486487,122.98191933240614,144.5281090289608
11,133.85403726708074,109.00996264009962,135.8906497622821,156.15921288014312,145.03636363636363,119.10533515731875,110.64993564993564,111.94661458333333,113.0738341968912,128.94091580502214
12,143.69397993311037,136.98228663446056,97.29128440366972,99.58486238532109,95.59510567296996,129.62211981566819,134.19092331768388,132.60648148148147,141.18945634266888,140.40686274509804
