,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,70.455,31,44,5.624
1,1,77.273,34,44,5.515
2,2,72.727,32,44,6.665
3,3,68.182,30,44,6.893
4,4,75.0,33,44,6.642
5,5,63.636,28,44,5.315
6,6,97.727,43,44,7.117
7,7,59.091,26,44,5.985
8,8,68.182,30,44,8.494
9,9,71.111,32,45,9.614
