,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,97.727,43,44,16.262
1,1,90.909,40,44,17.947
2,2,63.636,28,44,23.511
3,3,81.818,36,44,21.783
4,4,86.364,38,44,20.12
5,5,84.091,37,44,15.4
6,6,90.909,40,44,18.855
7,7,81.818,36,44,14.96
8,8,77.273,34,44,20.874
9,9,91.111,41,45,14.989
