,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,86.364,38,44,11.277
1,1,93.182,41,44,11.584
2,2,61.364,27,44,14.129
3,3,50.0,22,44,14.029
4,4,79.545,35,44,12.953
5,5,81.818,36,44,10.369
6,6,95.455,42,44,14.007
7,7,63.636,28,44,12.982
8,8,70.455,31,44,17.741
9,9,86.667,39,45,12.389
