,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,61.364,27,44,6.745
1,1,86.364,38,44,6.745
2,2,61.364,27,44,8.248
3,3,77.273,34,44,8.157
4,4,54.545,24,44,7.377
5,5,63.636,28,44,5.895
6,6,90.909,40,44,7.815
7,7,61.364,27,44,6.552
8,8,70.455,31,44,9.018
9,9,71.111,32,45,6.337
