,Digit,Accuracy (%),Correct,Classified,Time (s)
0,0,95.455,42,44,16.914
1,1,90.909,40,44,19.063
2,2,70.455,31,44,23.591
3,3,84.091,37,44,24.994
4,4,90.909,40,44,23.139
5,5,84.091,37,44,17.982
6,6,90.909,40,44,21.274
7,7,77.273,34,44,16.821
8,8,81.818,36,44,23.255
9,9,91.111,41,45,17.04
